closetime,mc,cs,volume,,
11/7/2010,515149.57,4479172,8880.924872,,
11/8/2010,599807.21,4543994,15602.90516,,
11/9/2010,684461.84,4553971,7211.903968,,
11/10/2010,854299.66,4551410,5703.645156,,
11/11/2010,784296.71,4530888,871.018428,,
11/12/2010,872101.52,4590008,7736.87315,,
11/13/2010,919918.07,4625028,4359.00747,,
11/14/2010,880336.77,4573178,3242.532948,,
11/15/2010,907253.14,4640681,1663.26317,,
11/16/2010,885819.68,4570793,6575.830126,,
11/17/2010,899989.86,4660745,6347.506346,,
11/18/2010,1075482.53,4676011,8612.73433,,
11/19/2010,1231702.85,4667309,569.3806118,,
11/20/2010,1797666.00,4609400,5714.55066,,
11/21/2010,1589672.38,4675507,260.1,,
11/22/2010,1130423.36,4651948,6854.02155,,
11/23/2010,1047383.50,4696787,1083.093829,,
11/24/2010,1110485.80,4701464,594.0222144,,
11/25/2010,1045165.94,4684742,374.7176445,,
11/26/2010,1262828.55,4708533,8993.249143,,
11/27/2010,1298661.97,4705297,503.807088,,
11/28/2010,1309699.91,4693592,5804.625239,,
11/29/2010,1263257.94,4710134,9401.859085,,
11/30/2010,1070777.25,4759010,4832.156475,,
12/1/2010,1101451.83,4788921,1876.31562,,
12/2/2010,1285393.67,4799827,5439.616265,,
12/3/2010,1302276.95,4732111,707.358944,,
12/4/2010,1349078.95,4766895,8082.968235,,
12/5/2010,1321475.44,4774979,1588.593431,,
12/6/2010,1363537.66,4792751,1228.828048,,
12/7/2010,1362616.46,4815750,6958.565299,,
12/8/2010,1367307.17,4834891,970.119948,,
12/9/2010,1343889.68,4799606,5974.17156,,
12/10/2010,1383895.80,4866019,479.0018376,,
12/11/2010,1385890.05,4897138,1638.198138,,
12/12/2010,1306697.13,4839619,530.16066,,
12/13/2010,1113569.39,4843712,1474.944141,,
12/14/2010,1016336.63,4881540,2162.801795,,
12/15/2010,1110433.87,4881028,838.2647,,
12/16/2010,1246364.78,4887705,3660.609405,,
12/17/2010,1226921.02,4887158,131.9300387,,
12/18/2010,1015087.45,4927609,34.836454,,
